TXN Date,DESCRIPTION,DEBIT,CREDIT,BALANCE
22-07-24,"UPI/RRN
420464175026/UPI_VIE GA",,2000.00,6299.91
22-07-24,UPI/RRN 457061588568/UPI,25.00,,6274.91
22-07-24,UPI/RRN 457048388370/UPI,60.00,,6214.91
22-07-24,"UPI/RRN 420454515959/Upi
Trans",2780.00,,3434.91
22-07-24,UPI/RRN 420454719849/UPI,45.00,,3389.91
23-07-24,"UPI/RRN
420507899547/UPI_Mr KI",,2000.00,5389.91
23-07-24,UPI/RRN 457166250741/UPI,140.00,,5249.91
24-07-24,"UPI/RRN 457229217120/Pay To
Bh",64.00,,5185.91
25-07-24,UPI/RRN 420761225376/UPI,25.00,,5160.91
25-07-24,UPI/RRN 420779944877/UPI,280.00,,4880.91
25-07-24,"UPI/RRN 420798368507/UPI_PR
ANA",,155.00,5035.91
25-07-24,UPI/RRN 457373945973/UPI,30.00,,5005.91
25-07-24,UPI/RRN 457393850421/UPI,60.00,,4945.91
25-07-24,UPI/RRN 420701967901/UPI,40.00,,4905.91
26-07-24,"UPI/RRN 457429092111/UPI_Mr
AD",,250.00,5155.91
26-07-24,"UPI/RRN
420857010773/aditya Si",600.00,,4555.91
26-07-24,UPI/RRN 420830507648/UPI,40.00,,4515.91
27-07-24,"UPI/RRN 420990231095/UPI_Mr
AD",,600.00,5115.91
27-07-24,UPI/RRN 420966152893/UPI,60.00,,5055.91
27-07-24,UPI/RRN 457557562299/UPI,150.00,,4905.91
27-07-24,"UPI/RRN
457547069378/UPI_RA JKU",,700.00,5605.91
27-07-24,UPI/RRN 457591479846/UPI,389.00,,5216.91
28-07-24,UPI/RRN 421060421318/UPI,36.00,,5180.91
28-07-24,UPI/RRN 421009723153/UPI,20.00,,5160.91
29-07-24,UPI/RRN 421156178312/UPI,24.00,,5136.91
30-07-24,"UPI/RRN
421263591019/UPI_GO OGL",,43.00,5179.91
30-07-24,UPI/RRN 457898787732/UPI,860.90,,4319.01
30-07-24,UPI/RRN 421207807325/UPI,30.00,,4289.01
30-07-24,UPI/RRN 421209914839/UPI,540.00,,3749.01
30-07-24,"UPI/RRN 457825208629/UPI_PR
ANA",,260.00,4009.01
30-07-24,UPI/RRN 457888336666/UPI,40.00,,3969.01
31-07-24,UPI/RRN 457936008392/UPI,45.00,,3924.01
01-08-24,UPI/RRN 421460818912/UPI,70.00,,3854.01
01-08-24,"UPI/RRN 458004624699/UPI_TA
RUL",,5000.00,8854.01
02-08-24,"UPI/RRN 458100968697/UPI_Mr
PR",,35.00,8889.01
02-08-24,UPI/RRN 421548963752/UPI,420.00,,8469.01
03-08-24,"UPI/RRN 421645415186/UPI_PR
ANA",,500.00,8969.01
03-08-24,UPI/RRN 421621981764/UPI,190.00,,8779.01
03-08-24,UPI/RRN 421649802424/UPI,340.00,,8439.01
04-08-24,UPI/RRN 458399420267/UPI,70.00,,8369.01
04-08-24,UPI/RRN 421746426754/UPI,34.00,,8335.01
04-08-24,UPI/RRN 421744444172/UPI,10.00,,8325.01
04-08-24,UPI/RRN 421712651414/UPI,10.00,,8315.01
04-08-24,UPI/RRN 458355961777/UPI,350.00,,7965.01
05-08-24,UPI/RRN 458439079091/UPI,15.00,,7950.01
05-08-24,UPI/RRN 421895101942/UPI,65.00,,7885.01
05-08-24,UPI/RRN 458441213197/UPI,28.00,,7857.01
05-08-24,UPI/RRN 458439245416/UPI,200.00,,7657.01
05-08-24,UPI/RRN 458407338683/UPI,50.00,,7607.01
06-08-24,UPI/RRN 421965992478/UPI,30.00,,7577.01
07-08-24,UPI/RRN 422073419280/UPI,90.00,,7487.01
07-08-24,UPI/RRN 458626124612/UPI,57.00,,7430.01
07-08-24,UPI/RRN 422016825894/UPI,700.00,,6730.01
09-08-24,UPI/RRN 458818651200/UPI,1538.00,,5192.01
09-08-24,UPI/RRN 458807056680/UPI,60.00,,5132.01
09-08-24,UPI/RRN 422290399836/UPI,50.00,,5082.01
10-08-24,UPI/RRN 422391541376/UPI,190.00,,4892.01
11-08-24,UPI/RRN 459014804195/UPI,60.00,,4832.01
13-08-24,"UPI/RRN
422605151789/UPI_AN UJ",,43.00,4875.01
14-08-24,Indian Clearing Corp CBIN7030,500.00,,4375.01
16-08-24,UPI/RRN 422956693757/UPI,450.00,,3925.01
16-08-24,"UPI/RRN
422936773619/Mandate Ex",130.00,,3795.01
16-08-24,"UPI/RRN
459597110856/UPI_PR ANA",,135.00,3930.01
17-08-24,UPI/RRN 423078959454/UPI,249.00,,3681.01
18-08-24,UPI/RRN 459758793769/UPI,35.00,,3646.01
18-08-24,UPI/RRN 423106599092/UPI,15.00,,3631.01
19-08-24,Indian Clearing Corp CBIN7030,500.00,,3131.01
19-08-24,UPI/RRN 459867530889/UPI,170.00,,2961.01
19-08-24,UPI/RRN 423278248940/UPI,300.00,,2661.01
20-08-24,UPI/RRN 423315374846/UPI,67.08,,2593.93
21-08-24,"UPI/RRN 423481739152/500
baki_",,250.00,2843.93
21-08-24,UPI/RRN 423448645252/UPI,10.00,,2833.93
